fid	iid
130700005	20501
130700016	2237
130700031	31923
130700036	22919
130700039	21986
130700046	4650
130700048	4247
130700049	31788
130700050	20115
130700096	22068
130700108	21710
130700117	20157
130700132	23932
130700135	4830
130700146	4190
130700147	31902
130700168	21887
130700183	2098
130700205	4553
130700215	22087
130700223	31775
130700232	20085
130700233	23420
130700237	24821
130700242	20392
130700250	17992
130700260	26353
130700305	31677
130700311	31732
130700313	31844
130700323	21733
130700329	1995
130700331	25427
130700340	4320
130700342	23246
130700344	21658
130700356	24712
130700359	4693
130700368	23088
130700370	23409
130700377	32010
130700382	32002
130700396	31878
130700407	31852
130700411	32034
130700416	31845
130700417	2598
130700421	4938
130700424	22074
130700426	31960
130700429	5127
130700439	31671
130700451	21671
130700452	31991
130700461	23408
130700468	26115
130700472	23015
130700473	21829
130700474	21858
130700477	31977
130700478	23024
130700486	21897
130700498	20081
130700510	5096
130700512	32006
130700517	4675
130700521	31849
130700523	21977
130700526	4733
130700533	21655
130700534	1130
130700537	4742
130700568	24664
130700569	31719
130700575	21417
130700589	2850
130700600	20789
130700608	22051
130700610	21166
130700617	17978
130700620	32049
130700623	2415
130700643	23389
130700675	31781
130700676	2110
130700686	23069
130700690	31872
130700702	2284
130700713	2472
130700716	25390
130700719	23044
130700735	31895
130700742	32031
130700746	32017
130700758	4628
130700773	31911
130700780	22195
130700781	22864
130700787	31805
130700794	31967
130700796	2052
130700799	21812
130700807	2655
130700834	24182
130700839	2316
130700841	4198
130700845	2121
130700856	31916
130700861	24249
130700863	24698
130700864	2045
130700867	21833
130700869	31791
130700877	2362
130700879	2089
130700882	22179
130700897	24674
130700900	20140
130700908	29940
130700915	2359
130700919	23099
130700921	4222
130700941	26127
130700943	2143
130700954	21684
130700964	31982
130700975	5123
130700976	23061
130700977	23183
130700980	31913
130700981	21853
130700994	4917
130701014	5062
130701017	23230
130701022	21675
130701025	21646
130701028	2140
130701043	31990
130701051	17931
130701056	4176
130701059	32027
130701078	32022
130701085	17974
130701089	2895
130701102	21590
130701109	23375
130701134	23123
130701139	32055
130701146	31822
130701156	4601
130701166	22491
130701171	23259
130701190	21757
130701193	31784
130701194	21902
130701203	26251
130701221	23401
130701229	22470
130701231	4826
130701237	22853
130701239	25058
130701241	18962
130701244	31998
130701245	31674
130701246	22823
130701247	2466
130701250	31910
130701260	31954
130701281	21778
130701283	20374
130701292	2300
130701307	2069
130701308	29963
130701309	31899
130701319	23274
130701325	2012
130701362	31909
130701387	2020
130701395	31983
130701398	4887
130701405	2244
130701407	31778
130701412	31835
130701417	24237
130701419	31985
130701424	32064
130701430	32061
130701434	31951
130701437	31984
130701441	31664
130701452	2149
130701461	2385
130701468	24708
130701474	24669
130701475	4251
130701484	23279
130701497	2133
130701498	31851
130701508	2407
130701531	26338
130701546	21938
130701554	32058
130701555	31819
130701563	22480
130701567	20754
130701573	20131
130701587	26391
130701600	2189
130701607	22332
130701610	21918
130701618	4876
130701632	2331
130701638	21753
130701648	31926
130701653	24196
130701659	20512
130701660	23591
130701665	4711
130701667	23689
130701673	2225
130701682	32046
130701683	23871
130701711	22973
130701715	21737
130701718	31766
130701727	22888
130701737	20409
130701745	25417
130701746	17988
130701747	31690
130701752	31825
130701761	23005
130701762	31713
130701765	4962
130701770	31875
130701771	20067
130701784	22922
130701788	24126
130701800	25608
130701804	21817
130701808	24948
130701828	22282
130701843	31794
130701851	32008
130701869	23223
130701870	2605
130701872	20418
130701886	24916
130701887	5110
130701888	2378
130701892	31892
130701901	22495
130701903	2093
130701913	22836
130701916	21635
130701927	2214
130701938	5090
130701943	31989
130701958	4966
130701962	4230
130701963	21470
130701965	25396
130701966	4458
130701975	32004
130701979	2107
130701983	31701
130701996	32014
130702006	1998
130702009	26344
130702010	21862
130702017	31707
130702019	23365
130702033	24114
130702047	24081
130702054	31816
130702055	31997
130702070	20405
130702071	1138
130702076	29951
130702077	17983
130702095	24731
130702105	23196
130702118	4254
130702120	32040
130702163	24077
130702167	20119
130702175	21943
130702184	31693
130702198	21875
130702211	19160
130702226	31831
130702243	2288
130702248	31842
130702252	24205
130702261	26138
130702278	2146
130702285	21722
130702286	32005
130702308	31943
130702312	32069
130702320	21870
130702326	24763
130702331	4983
130702341	2451
130702359	2252
130702361	19298
130702368	31812
130702372	31931
130702373	23113
130702375	20102
130702380	32072
130702386	31836
130702412	2028
130702422	2129
130702427	17966
130702428	4992
130702431	4765
130702432	26243
130702434	23685
130702436	23303
130702445	4211
130702463	31670
130702471	31741
130702489	21345
130702491	31745
130702495	32043
130702499	20966
130702511	19173
130702523	4210
130702538	4271
130702551	2041
130702559	22047
130702560	31995
130702565	25055
130702570	4907
130702574	2635
130702577	2048
130702579	21990
130702585	4218
130702588	4186
130702600	23556
130702606	4977
130702607	31725
130702609	31934
130702613	2031
130702649	22860
130702671	4261
130702690	24273
130702692	4954
130702711	31964
130702715	22586
130702721	31697
130702727	23133
130702736	20094
130702740	31798
130702763	31830
130702768	2016
130702769	4562
130702772	23157
130702783	4610
130702786	23187
130702788	22080
130702801	26295
130702826	21908
130702843	5066
130702851	5114
130702853	2103
130702855	31847
130702857	4592
130702889	31992
130702890	2063
130702897	31833
130702908	23171
130702919	2023
130702928	21922
130702939	4702
130702944	31772
130702953	4657
130702956	4666
130702958	2428
130702960	31858
130702970	21381
130702973	2523
130702979	20528
130702980	20436
130702998	21404
130702999	29971
130703008	20072
130703023	4235
130703048	19166
130703059	4338
130703066	23250
130703073	31980
130703084	21714
130703094	2276
130703100	2217
130703105	19155
130703109	2443
130703144	2114
130703155	31848
130703160	23357
130703163	2456
130703165	17951
130703166	2353
130703172	31837
130703173	21610
130703176	23447
130703179	22856
130703184	2257
130703190	17407
130703194	23066
130703195	2035
130703197	24046
130703211	24026
130703212	31735
130703214	4281
130703219	31974
130703220	21631
130703221	22024
130703226	21744
130703228	22819
130703230	17961
130703234	5011
130703235	31904
130703257	21670
130703264	23435
130703270	22142
130703286	31938
130703288	20395
130703294	31970
130703295	4890
130703307	24037
130703308	23371
130703312	32011
130703321	23018
130703322	24003
130703324	21400
130703327	20457
130703350	22419
130703353	23619
130703355	31908
130703370	31981
130703374	25009
130703387	2469
130703390	31993
130703392	4873
130703398	31846
130703408	23677
130703434	2155
130703445	19292
130703455	31857
130703463	20062
130703465	22094
130703477	24219
130703478	24990
130703512	2341
130703514	4580
130703522	23236
130703527	31834
130703542	19327
130703550	2280
130703568	24201
130703572	2431
130703594	32003
130703595	32007
130703601	22906
130703603	23993
130703607	22670
130703613	5085
130703617	21761
130703628	20152
130703633	21643
130703637	22826
130703639	25604
130703644	22996
130703645	2001
130703647	24703
130703654	31889
130703661	23327
130703667	23118
130703677	31881
130703682	25422
130703685	2203
130703686	32000
130703688	20077
130703695	31915
130703697	21994
130703701	2394
130703736	23867
130703746	23636
130703748	31738
130703754	31914
130703755	2009
130703768	20452
130703773	2913
130703782	4171
130703789	2159
130703799	20385
130703824	4911
130703828	2338
130703829	22084
130703831	31802
130703834	31903
130703841	31832
130703845	20723
130703850	31680
130703852	26277
130703853	4756
130703859	22060
130703881	24210
130703887	25445
130703889	20476
130703906	31957
130703909	2570
130703912	2162
130703925	24930
130703936	19305
130703939	31763
130703942	22097
130703952	2356
130703956	26313
130703962	2425
130703966	23207
130703969	31947
130704002	2818
130704023	2087
130704024	4389
130704034	31749
130704035	23293
130704054	23227
130704056	32039
130704062	4933
130704065	23672
130704079	4413
130704081	31760
130704083	4499
130704087	26159
130704106	31769
130704110	32052
130704114	31710
130704128	32009
130704134	31843
130704161	19151
130704167	2863
130704177	21766
130704180	31864
130704181	23693
130704189	22013
130704201	21866
130704208	20432
130704212	23525
130704215	31716
130704216	22870
130704219	20399
130704221	4684
130704222	21701
130704229	2335
130704237	31907
130704240	20416
130704246	22314
130704255	31757
130704259	4398
130704262	2117
130704264	2247
130704274	2460
130704279	2517
130704283	31867
130704297	21998
130704330	22366
130704357	22054
130704366	29953
130704373	31850
130704377	2389
130704378	4942
130704386	31859
130704403	31351
130700004	2478
130700004	2479
130700010	23345
130700011	32139
130700017	4838
130700022	32165
130700032	25527
130700033	26400
130700040	32205
130700041	22801
130700065	2677
130700065	2678
130700070	23717
130700071	26464
130700071	26465
130700077	32232
130700078	32234
130700087	25496
130700090	32185
130700094	32079
130700098-130703140-130900098	19309
130700119	25547
130700125	21606
130700125	21607
130700133	32222
130700140	29935
130700153	4989
130700153	4990
130700199	23745
130700200	21773
130700200	21776
130700231	26437
130700231	26438
130700238	23767
130700240	22747
130700243	26471
130700243	26472
130700244	19204
130700246	4846
130700248	2504
130700257	29670
130700257	29671
130700258	26422
130700262	32155
130700267	2729
130700274	23705
130700274	23706
130700278	22941
130700278	22942
130700281	25550
130700281	25551
130700298	32108
130700304	24881
130700308	24984
130700316	2759
130700318	22757
130700337	19192
130700343	22022
130700351	23760
130700354	22794
130700358	2476
130700366	26493
130700366	26494
130700379	29637
130700387	26403
130700389	32203
130700390	2732
130700394	24052
130700395	26390
130700408	32179
130700413	22775
130700415	32088
130700434	22776
130700436	29744
130700454	5137
130700455	23352
130700459	24968
130700466	21628
130700471	32202
130700479	29703
130700482	4511
130700483	25556
130700505	24045
130700506	32225
130700516	23733
130700524	22777
130700532	26527
130700536	22749
130700548	2783
130700549	32152
130700552	22005
130700552	22006
130700555	25518
130700556	19230
130700561	5035
130700571	22067
130700572	22746
130700579	32094
130700582	2959
130700591	24224
130700593	22737
130700595	4526
130700597	20498
130700597	20499
130700602	26486
130700602	26487
130700605	24287
130700607	29764
130700612	23807
130700612	23808
130700612	23811
130700619	23130
130700619	23131
130700629	29631
130700631	26522
130700631	26523
130700634	23353
130700636	29745
130700647	32200
130700648	26217
130700660	32167
130700673	26524
130700678	2488
130700681	22754
130700684	23595
130700688	29760
130700689	19263
130700689	19264
130700699	29729
130700703	4861
130700717	32081
130700720	24969
130700721	2961
130700734	22700
130700747	23796
130700747	23797
130700748	23729
130700748	23732
130700755	2768
130700766	24049
130700782	32140
130700786	4455
130700806	2648
130700806	2649
130700809	22784
130700813	2776
130700819	26207
130700822	4844
130700825	24136
130700842	22936
130700850	2652
130700851	25444
130700873	24043
130700876	4529
130700886	32086
130700889	5003
130700892	24966
130700896	32201
130700898	2521
130700899	29746
130700909	22783
130700911	26499
130700913	22728
130700914	22797
130700916	2632
130700922	2955
130700931	29928
130700935	32170
130700950	2543
130700960	24880
130700962	32161
130700987	25482
